Origem;Nome;Código IF / CETIP;ISIN;Status;Taxa / Remuneração;Emissão;Série;Data Emissão;Data Vencimento;Volume (R$);Devedor / Cedente;Lastro;Agente Fiduciário;Tipo / Oferta
"Opea";"CRI 609ª Emissão 1ª Série";"26E4435499";"BRRBRACIR3T7";"Ativa";"CDI + 1,1500% a.a.";"609";"1";"";"20/12/2027";"138.612,00";"BTLC II";"";"";"RCVM160RA"
"Opea";"CRI 224ª Emissão 1ª Série";"CRA026002XL";"BRRBRACRA900";"Ativa";"100,0000% CDI";"224";"1";"";"14/05/2031";"72.000,00";"Ouro Safra";"";"";"RCVM160RA"
"Opea";"CRI 601ª Emissão 1ª Série";"26E3783551";"BRRBRACIR3E9";"Ativa";"IPCA + 13,7500% a.a.";"601";"1";"";"22/05/2035";"45.000,00";"Hot Beach You Fase 2";"";"";"RCVM160RA"
"Opea";"CRI 600ª Emissão 2ª Série";"26E3077577";"BRRBRACIR3K6";"Ativa";"12,6582% a.a.";"600";"2";"";"14/05/2036";"140.953,00";"BTG Windsor";"";"";"RCVM160RA"
"Opea";"CRI 600ª Emissão 1ª Série";"26E3061336";"BRRBRACIR3J8";"Ativa";"94,0000% CDI";"600";"1";"";"14/05/2036";"205.345,00";"BTG Windsor";"";"";"RCVM160RA"
"Opea";"CRI 600ª Emissão 4ª Série";"26E3062318";"BRRBRACIR3M2";"Ativa";"96,0000% CDI";"600";"4";"";"14/05/2041";"145.880,00";"BTG Windsor";"";"";"RCVM160RA"
"Opea";"CRI 600ª Emissão 6ª Série";"26E3064087";"BRRBRACIR3O8";"Ativa";"IPCA + 6,2211% a.a.";"600";"6";"";"14/05/2041";"14.217,00";"BTG Windsor";"";"";"RCVM160RA"
"Opea";"CRI 600ª Emissão 5ª Série";"26E3143319";"BRRBRACIR3N0";"Ativa";"12,8029% a.a.";"600";"5";"";"14/05/2041";"56.982,00";"BTG Windsor";"";"";"RCVM160RA"
"Opea";"CRI 600ª Emissão 3ª Série";"26E3147193";"BRRBRACIR3L4";"Ativa";"IPCA + 6,2488% a.a.";"600";"3";"";"14/05/2036";"36.623,00";"BTG Windsor";"";"";"RCVM160RA"
"Opea";"CRI 591ª Emissão 2ª Série";"26E3499911";"BRRBRACIR3D1";"Ativa";"0,0000% a.a.";"591";"2";"";"16/09/2027";"25.000,00";"Tarjab";"";"";"RCVM160RA"
"Opea";"CRI 47ª Emissão 1ª Série";"RBRAD7";"BRRBRADBS3K1";"Ativa";"CDI + 2,5500% a.a.";"47";"1";"";"31/10/2029";"200.000,00";"Transmaroni";"";"";"RCVM160RA"
"Opea";"CRI 46ª Emissão 1ª Série";"RBRAD6";"BRRBRADBS3N5";"Ativa";"CDI + 3,9100% a.a.";"46";"1";"";"08/04/2030";"78.535.663,00";"Lokamig";"";"";"RCVM160RA"
"Opea";"CRI 45ª Emissão 1ª Série";"RBRAE5";"BRRBRADBS3O3";"Ativa";"CDI + 3,7800% a.a.";"45";"1";"";"11/09/2028";"157.908.024,00";"Tora Transportes";"";"";"RCVM160RA"
"Opea";"CRI 592ª Emissão 3ª Série";"26C4080854";"BRRBRACIR2R3";"Ativa";"CDI + 5,0000% a.a.";"592";"3";"";"21/09/2028";"1,00";"Obelisco";"";"";"RCVM160RA"
"Opea";"CRI 315ª Emissão 2ª Série";"24I1656918";"BRRBRACRIPT8";"Ativa";"CDI + 4,0000% a.a.";"315";"2";"";"21/09/2028";"6.000,00";"Raposo";"";"";"RCVM160RA"
"Opea";"CRI 315ª Emissão 3ª Série";"24I1656960";"BRRBRACRIPU6";"Ativa";"CDI + 4,0000% a.a.";"315";"3";"";"21/09/2028";"2.460,00";"Raposo";"";"";"RCVM160RA"
"Opea";"CRI 486ª Emissão 1ª Série";"26D0012201";"BRRBRACIR2H4";"Ativa";"CDI + 0,5000% a.a.";"486";"1";"";"14/04/2031";"397.715,00";"Brookfield Aqwa";"";"";"RCVM160RA"
"Opea";"CRI 582ª Emissão 1ª Série";"26D5742881";"BRRBRACIR382";"Ativa";"CDI + 1,7000% a.a.";"582";"1";"";"26/04/2046";"7.000,00";"Química Amparo (Ypê)";"";"";"RCVM160RA"
"Opea";"CRI 582ª Emissão 2ª Série";"26D5743070";"BRRBRACIR390";"Ativa";"IGPM + 10,0000% a.a.";"582";"2";"";"26/04/2046";"63.000,00";"Química Amparo (Ypê)";"";"";"RCVM160RA"
"Opea";"CRI 43ª Emissão 1ª Série";"RBRA43";"BRRBRADBS3J3";"Ativa";"CDI + 1,9000% a.a.";"43";"1";"";"09/04/2031";"500.000,00";"Multilog";"";"";"RCVM160RA"
"Opea";"CRI 579ª Emissão 1ª Série";"26C5955434";"BRRBRACIR374";"Ativa";"CDI + 3,3500% a.a.";"579";"1";"";"21/09/2028";"25.000,00";"Stay Ludolf";"";"";"RCVM160RA"
"Opea";"CRI 42ª Emissão 1ª Série";"RBRA42";"BRRBRADBS3I5";"Ativa";"16,3269% a.a.";"42";"1";"";"30/07/2030";"284.071.107,00";"MOVIDA III";"";"";"RCVM160RA"
"Opea";"CRI 593ª Emissão 1ª Série";"26C5379732";"BRRBRACIR325";"Ativa";"IPCA + 9,2567% a.a.";"593";"1";"";"21/03/2041";"62.000,00";"JHSF VI";"";"";"RCVM160RA"
"Opea";"CRI 559ª Emissão 1ª Série";"20I0047200";"BRRBRACIR3B5";"Ativa";"IPCA + 7,8000% a.a.";"559";"1";"";"24/08/2039";"975,00";"Almeida Junior III";"";"";"ICVM476"
"Opea";"CRI 559ª Emissão 2ª Série";"20I0047574";"BRRBRACIR3C3";"Ativa";"IPCA + 7,8000% a.a.";"559";"2";"";"24/08/2039";"975,00";"Almeida Junior III";"";"";"ICVM476"
"Opea";"CRI 559ª Emissão 3ª Série";"24H2371051";"BRRBRACIR3A7";"Ativa";"IPCA + 8,8500% a.a.";"559";"3";"";"24/08/2039";"500,00";"Almeida Junior III";"";"";"RCVM160RA"
"Opea";"CRI 596ª Emissão 1ª Série";"26C5001174";"BRRBRACIR333";"Ativa";"CDI + 1,2000% a.a.";"596";"1";"";"20/06/2032";"64.700,00";"MRV PRO SOLUTO II";"";"";"RCVM160RA"
"Opea";"CRI 589ª Emissão 1ª Série";"26C4863993";"BRRBRACIR309";"Ativa";"IPCA + 11,1700% a.a.";"589";"1";"";"19/07/2035";"105.615,00";"MRV FLEX IX";"";"";"RCVM160RA"
"Opea";"CRI 589ª Emissão 2ª Série";"26C4864681";"BRRBRACIR317";"Ativa";"IPCA + 9,0000% a.a.";"589";"2";"";"19/03/2041";"7.949,00";"MRV FLEX IX";"";"";"RCVM160RA"
"Opea";"CRI 590ª Emissão 1ª Série";"26C4869290";"BRRBRACIR2X1";"Ativa";"CDI + 2,5000% a.a.";"590";"1";"";"20/01/2030";"200.000,00";"MRV Pro Soluto";"";"";"RCVM160RA"
"Opea";"CRI 590ª Emissão 3ª Série";"26C4878093";"BRRBRACIR2Z6";"Ativa";"0,0000% CDI";"590";"3";"";"21/03/2032";"3.260,00";"MRV Pro Soluto";"";"";"RCVM160RA"
"Opea";"CRI 563ª Emissão 1ª Série";"26C4633292";"BRRBRACIR2V5";"Ativa";"IPCA + 8,9000% a.a.";"563";"1";"";"11/07/2034";"180.120,00";"DIÁLOGO VIII";"";"";"RCVM160RA"
"Opea";"CRI 563ª Emissão 2ª Série";"26C4633419";"BRRBRACIR2W3";"Ativa";"IPCA + 8,9000% a.a.";"563";"2";"";"11/04/2041";"199.880,00";"DIÁLOGO VIII";"";"";"RCVM160RA"
"Opea";"CRI 590ª Emissão 2ª Série";"26C4871963";"BRRBRACIR2Y9";"Ativa";"CDI + 5,0000% a.a.";"590";"2";"";"21/03/2032";"14.140,00";"MRV Pro Soluto";"";"";"RCVM160RA"
"Opea";"CRI 592ª Emissão 1ª Série";"26C4077795";"BRRBRACIR2P7";"Ativa";"0,0001% a.a.";"592";"1";"";"21/09/2028";"4.000,00";"Obelisco";"";"";"RCVM160RA"
"Opea";"CRI 592ª Emissão 2ª Série";"26C4080603";"BRRBRACIR2Q5";"Ativa";"CDI + 5,0000% a.a.";"592";"2";"";"21/09/2028";"33.845,00";"Obelisco";"";"";"RCVM160RA"
"Opea";"CRI 570ª Emissão 1ª Série";"26C3178838";"BRRBRACIR2G6";"Ativa";"IPCA + 8,5000% a.a.";"570";"1";"";"30/03/2031";"46.340,00";"Domingos Marchetti";"";"";"RCVM160RA"
"Opea";"CRI 576ª Emissão 1ª Série";"26C3930640";"BRRBRACIR2K8";"Ativa";"IPCA + 12,5500% a.a.";"576";"1";"";"23/03/2036";"11.200,00";"Novum";"";"";"RCVM160RA"
"Opea";"CRI 576ª Emissão 2ª Série";"26C3930680";"BRRBRACIR2L6";"Ativa";"IPCA + 12,5500% a.a.";"576";"2";"";"24/03/2036";"12.100,00";"Novum";"";"";"RCVM160RA"
"Opea";"CRI 221ª Emissão 1ª Série";"CRA026000XI";"BRRBRACRA8Y4";"Ativa";"CDI + 3,9000% a.a.";"221";"1";"";"16/03/2032";"116.350,00";"Primato";"";"";"RCVM160RA"
"Opea";"CRI 583ª Emissão 1ª Série";"26C3703914";"BRRBRACIR2J0";"Ativa";"CDI + 1,5000% a.a.";"583";"1";"";"25/03/2031";"191.930,00";"Passeio Paulista II";"";"";"RCVM160RA"
"Opea";"CRI 588ª Emissão 1ª Série";"26C3164285";"BRRBRACIR2C5";"Ativa";"97,0000% CDI";"588";"1";"";"11/03/2031";"646.700,00";"Allos VI";"";"";"RCVM160RA"
"Opea";"CRI 588ª Emissão 2ª Série";"26C3169856";"BRRBRACIR2D3";"Ativa";"98,0000% CDI";"588";"2";"";"13/03/2033";"115.397,00";"Allos VI";"";"";"RCVM160RA"
"Opea";"CRI 588ª Emissão 3ª Série";"26C3170159";"BRRBRACIR2E1";"Ativa";"100,0000% CDI";"588";"3";"";"11/03/2036";"237.903,00";"Allos VI";"";"";"RCVM160RA"
"Opea";"CRI 533ª Emissão 1ª Série";"26C0530515";"BRRBRACIR283";"Ativa";"IPCA + 12,9017% a.a.";"533";"1";"";"24/03/2031";"28.000,00";"Vila Convida";"";"";"RCVM160RA"
"Opea";"CRI 541ª Emissão 2ª Série";"25K2509302";"BRRBRACRIZD1";"Ativa";"CDI + 5,0050% a.a.";"541";"2";"";"19/12/2028";"4.000,00";"Bioma Apinajés";"";"";"RCVM160RA"
"Opea";"CRI 291ª Emissão 2ª Série";"26C2474993";"BRRBRACIR2F8";"Ativa";"IPCA + 13,7501% a.a.";"291";"2";"";"20/07/2032";"50.000,00";"HOT BEACH YOU";"";"";"RCVM160RA"
"Opea";"CRI 1ª Emissão 1ª Série";"NA*1";"NA*1";"Ativa";"CDI + 4,0000% a.a.";"1";"1";"";"20/08/2028";"6.990,00";"Charitas";"";"";"RCVM88"
"Opea";"CRI 220ª Emissão 1ª Série";"CRA026000XF";"BRRBRACRA8T4";"Ativa";"CDI + 2,9500% a.a.";"220";"1";"";"30/10/2031";"160.000,00";"Caeté II";"";"";"RCVM160RA"
"Opea";"CRI 584ª Emissão 1ª Série";"26B4409996";"BRRBRACIR218";"Ativa";"CDI + 2,2500% a.a.";"584";"1";"";"28/02/2036";"425.000,00";"JHSF V";"";"";"RCVM160RA"
"Opea";"CRI 40ª Emissão 1ª Série";"RBRA04";"BRRBRADBS3C8";"Ativa";"CDI + 2,1200% a.a.";"40";"1";"";"24/08/2027";"1.000.000,00";"Sec Safra";"";"";"RCVM160RA"
"Opea";"CRI 581ª Emissão 1ª Série";"26B3803595";"BRRBRACIR226";"Ativa";"CDI + 2,3500% a.a.";"581";"1";"";"16/02/2031";"25.000,00";"Amy";"";"";"RCVM160RA"
"Opea";"CRI 219ª Emissão 1ª Série";"CRA0260005U";"BRRBRACRA8U2";"Ativa";"CDI + 2,5000% a.a.";"219";"1";"";"16/02/2031";"32.239,00";"Frigol";"";"";"RCVM160RA"
"Opea";"CRI 219ª Emissão 2ª Série";"CRA0260005V";"BRRBRACRA8V0";"Ativa";"16,3670% a.a.";"219";"2";"";"16/02/2031";"182.442,00";"Frigol";"";"";"RCVM160RA"
"Opea";"CRI 219ª Emissão 3ª Série";"CRA0260005W";"BRRBRACRA8W8";"Ativa";"IPCA + 11,4044% a.a.";"219";"3";"";"14/02/2033";"35.319,00";"Frigol";"";"";"RCVM160RA"
"Opea";"CRI 41ª Emissão 1ª Série";"RBRAY1";"BRRBRADBS3E4";"Ativa";"CDI + 5,0000% a.a.";"41";"1";"";"27/02/2031";"110.000,00";"Oxymed";"";"";"RCVM160RA"
"Opea";"CRI 336ª Emissão 8ª Série";"24G2741433";"BRAPCSCRIPK7";"Ativa";"IPCA + 10,5000% a.a.";"336";"8";"";"14/03/2029";"2.000,00";"Bauten";"";"";"RCVM160RA"
"Opea";"CRI 336ª Emissão 9ª Série";"24G2741434";"BRAPCSCRIPL5";"Ativa";"IPCA + 10,5000% a.a.";"336";"9";"";"15/04/2029";"2.000,00";"Bauten";"";"";"RCVM160RA"
